独树镇	独树
西安东大肛肠医院	西安东大医院
心理学专业硕士	心理学专硕
酒泉广播电视大学	酒泉电大
河南省新华药业有限公司	新华药业有限公司
上海新陆职业技术学校	新陆职业技术学校
足太阴脾经	脾经
成都数联寻英科技有限公司	数联寻英
德国莱茵集团	莱茵集团
河北省建筑工程安济杯奖	安济杯
德融投资咨询有限公司	德融投资咨询
么家佐村	么家佐
深圳市艾礼富红外技术有限公司	艾礼富
长沙市开福区霞凝小学	霞凝小学
卓越国旅国际旅行社有限公司	卓越国旅
太谷县第二中学	太谷二中
全免费葬生态环保葬	全免费生态葬
内蒙古社会福利有奖募捐委员会正式成立	内蒙募委会
来凤县	来凤
荷花池世博幼儿园	荷花池世博
华厦大酒店	华厦酒店
湖北省当阳市经济技术开发区	湖北当阳经济开发区
信阳市运输集团有限责任公司	信运集团
广西壮族自治区律师协会	广西律师协会
国家标准代码	国标码
不饱和聚酯	聚酯
亚洲美术教育研究发展中心	亚洲美术教育
本局行政执法工作人员	行政执法人员
河南雨润北徐肉类食品有限公司	雨润北徐
用友优普信息技术有限公司	用友优普公司
中国电影资料馆艺术影院	艺术影院
东立出版社	东立
中国建筑工程钢结构金奖	钢结构金奖
金口财总裁特训营	金口财
巴东县信陵镇中元子小学	中元子小学
海南藏族自治州	海南州
伪伟魔术网	伪伟网
大泗中足球俱乐部	大泗中
四川省彭山县第一中学	彭山县一中
东莞市鑫顺康五金机械有限公司	鑫顺康五金机械有限公司
安徽省泗县第三中学	泗县三中
河南省潢川高级中学	潢川高中
格林尼亚试剂	格林试剂
山东省聊城市第四中学	聊城四中
陕西关山乳业有限责任公司	陕西关山乳业有限公司
山东朗进科技股份有限公司	朗进科技股份
临淄区	临淄
白塑幕	白塑
山东省蓬莱市第四中学	蓬莱四中
湖南省归国华侨联合会	湖南省侨联
全称治中从事史	治中
台湾高速铁路	台湾高铁
卯山古方端午茶	卯山古方茶
北京京运通科技股份有限公司	京运通
柳山镇	柳山
南昌鸿运文化传媒有限公司	南昌鸿运传媒有限公司
浦江之声广播电台	浦江之声
下法凹村	下法凹
沈阳师范大学	沈师大
中信国际商贸有限公司	中信国际商贸
琼崖华侨联合总会	琼侨总会
甘肃中汇牛羊产业集团	中汇牛羊产业集团
重庆粮食集团有限责任公司	重庆粮食集团
保定市中级人民法院	保定中院
广州格雅诗化妆品有限公司	广州格雅诗
包马场村	包马场
峰峰矿区	峰峰
房产分户平面图	分户图
南赵楼乡	南赵楼
霞田村	霞田
三信国际总部园	三信国际
大理伊燕工艺服饰公司	大理伊燕
红叶行动开县大学生公益服务队	红叶行动开县队
蒙通联足球俱乐部	蒙通联
隶属于中国民航网	民航网
通辽市第一中学	通辽一中
融创中国控股有限公司	融创
杜桥第二小学	杜桥二小
海南十大文化名镇	十大文化名镇
大唐芙蓉园	芙蓉园
山西医科大学第二医院	山医二院
武汉沃世科技有限公司	武汉沃世科技
石家庄科技工程职业学院	石家庄科工院
嘉义市政府政风处	政风处
沈阳大学	沈大
湖北省归国华侨联合会	湖北省侨联
北汽福田汽车股份有限公司	福田汽车公司
首创置业股份有限公司	首创置业
合川区香龙镇中心完全小学	香龙完小
平度市同和街道办事处同和中学	街道办事处同和中学
杭州月恒网络科技有限公司	月恒网络
曲靖第一中学	曲靖一中
泰国亚洲航空	泰国亚航
邯郸市第四中学	邯郸四中
河北衡水湖国家级自然保护区	衡水湖
德国下莱茵高等专业学院	莱茵高等专业学院
内蒙古蒙佳粮油工业集团	蒙佳粮油工业集团
名词作状语	名作状
日照职业技术学院	日职
甘肃省武威市凉州区职业中等专业学校	凉州区职业中专
北京信息科技大学	信息科大
广东国规防静电技术检验中心	国规检验中心
襄阳佳海工业城	襄阳佳海
罗甸县第二中学	罗甸二中
县优化经济发展环境领导小组办公室	优化办
商洛市金凤山公园	金凤山公园
浙江商业职业技术学院	商业职业技术学院
深圳市前海金融控股公司	前海金控
山东名流实业集团有限公司	名流实业集团
中国民航信息集团公司	中国航信集团公司
牡丹江大学传媒与艺术学院	牡大传艺学院
工商行政管理部门处理消费者投诉办法	投诉办法
北京宽连十方数字技术有限公司	宽连十方数字
广西药科学校	药科学校
北京理工大学附属中学	理工附中
南京华威医药科技开发有限公司	华威医药
简阳市简城镇第一小学	简城一小
条形统计图	条形图
巨鹿金银花一号	巨花一号
北京金盛博创文化传播有限公司	金盛博创文化
贵州省瓮安中学	瓮安中学
紫阳县大学生联合会	紫阳县大学联
福州市第三十八中学	福州三十八
高碳高速钢轧辊	高速钢轧辊
第二层皮音乐节	二皮音乐节
西华县发展和改革委员会	西华县发改委
阿尔波勾迪尔阿尔比斯坎尼酒店	勾迪尔阿尔比斯坎尼酒店
甘肃省嘉峪关市中级人民法院	嘉峪关市中级人民法院
深圳宝利来国际大酒店	宝利来国际大酒店
航空天气报和危险天气通报	航危报
河北省曲阳县辉煌雕塑有限公司	辉煌雕塑
北京万邦达环保技术股份有限公司	万邦达
高中起点升专科	高起专
下朵格自然村	下朵格村
清远市第一中学实验学校	清实
湖南易宝天创数据服务有限公司	易宝天创
多杰雄天	雄天
南京宁光控制系统有限公司	南京宁光控制系统
北京迪瓦米设计顾问有限公司	迪瓦米设计
没戏唱	没戏
太仓市第二中学	太仓市二中
亳州建投世纪城	建投世纪城
深圳市三讯科技有限公司	三讯科技
放射性衰变系	衰变系
广州数控设备有限公司	广州数控
太仆寺卿	太仆
铜仁市文学艺术界联合会	铜仁市文学艺术界
福州佳士丽装饰材料有限公司	佳士丽
济源市锦生炭素有限公司	锦生炭素
山东凯盛珠宝首饰有限公司	凯盛珠宝首饰
四川音乐学院附属中等艺术学校	川音附中
浙江海亮股份有限公司	海亮股份
湖南电广传媒股份有限公司	电广传媒
中山市龙拓商贸有限公司	龙拓商贸
南宁大塘中学	大塘中学
中国航空技术进出口上海公司	中航技上海公司
山东海那产业有限公司	海那产业
中创影翼文化传播有限公司	中创影翼
陇南田园油橄榄科技开发有限公司	田园油橄榄公司
北京京港地铁有限公司	京港地铁
厦大青年漳州校区宣传中心	厦青
高等专科学校	高专
大宅门第二部	大宅门
武汉灏印合广告传媒有限公司	灏印合传媒
四川省电视艺术制作中心	电视艺术制作
庄寨镇	庄寨
大连中山爱阅堂英语培训学校	中山爱阅堂
日本语	日语
中国东西部合作与投资贸易洽谈会	西洽会
上海思派电子科技有限公司	上海思派
合肥光雨教育咨询有限公司	合肥光雨公司
深圳市沙井汽车站	深圳沙井汽车站
白洪溪村	白洪溪
长除法	长除
中华人民共和国文物保护法实施条例	文物保护法实施条例
组合式智能指示报警控制系统	组合式智能指示
郯城县港上镇初级中学	港上中学
中化塑料有限公司	中化塑料
西安市远东第一小学	西安远东一小
金运视讯设备有限公司	金运
分镜头脚本	分镜头
中国农工民主党	农工党
第五代新型礼炮	第五代礼炮
地球科学系	地科系
意大利米兰大学	米兰大学
中国人民解放军工程兵指挥学院	工程兵指挥学院
朱雀国家森林公园	朱雀森林公园
潜江市园林第三初级中学	园林三中
北京金港印刷有限公司	金港印刷
禄丰县第三中学	禄丰三中
四川省投资促进局	省投资促进局
四川迪康产业控股集团股份有限公司	迪康集团
公路运输管理费	运管费
郑州知不信息科技有限公司	知不科技
意大利维琴察音乐学院	维琴察音乐学院
抚顺市第一中学	抚顺一中
中融天成投资担保有限公司	中融天成
北京鼎恒汇通投资担保有限公司	鼎恒汇通
江苏中冶化工有限公司	江苏中冶化工
山东省曹县第一中学	曹县一中
肖寨北村	肖寨
胶南市第三中学	胶南三中
湖南财经学院	湖南财院
合肥中港物业管理有限公司	合肥中港物业管理
爱晚红枫学生网	爱晚红枫
深圳市深蓝海科技有限公司	深蓝海科技
山东上水环境科技有限公司	上水环境
上海市洵阳中学	洵阳中学
云南省矿业协会	矿业协会
中国青年美术家协会	中国青年美协
山东鑫海汽车配件有限公司	鑫海汽车配件
长丰朝晖世盛养殖有限公司	朝晖世盛
绩溪县长安镇下庄团村	下庄团村
广东奥马电器股份有限公司	奥马电器
华阳实验小学	华阳实小
河北海韵文化传媒有限公司	海韵传媒
上海维拉斯酒店	维拉斯酒店
北京航空航天大学蓝天志愿者协会	北航蓝协
中华电视公司	华视
常熟市星海制药有限公司	星海制药有限公司
大铭装饰设计工程有限公司	大铭装饰
金威食品发展有限公司	金威食品
深圳市大荒缘国际贸易有限公司	大荒缘贸易
合肥亿日办公设备有限公司	合肥亿日
天津农村商业银行股份有限公司	天津农商银行
北京海传光盘有限公司	北京海传光盘
取现额度	取现
史密斯菲尔德食品公司	史密斯菲尔德
佛山市第二十七小学	第二十七小学
瑞安市汀田第三小学	汀田第三小学
武汉东湖新技术产业开发区	东湖新技术开发区
玛瑟里顿之眼	玛眼
称视神经盘	视盘
广东美思内衣有限公司	广东美思
河南水利投资集团有限公司	河南水投公司
湖北大学学生社团联合会	湖大社联
中国石油化工有限公司四川石油分公司	中国石化四川石油分公司
涟水县第一中学	涟水一中
中国华铭国际投资有限公司	中国华铭
美仕集团公司	美仕
山东华典实业有限公司	华典实业
广州晟威电子科技有限公司	晟威
松桃苗族自治县	松桃
平阳县诗词学会	平阳县诗会
大公传媒有限公司	大公传媒
金属保护套温度计	金属套温度计
黑龙江省富锦市锦山镇工农林场	工农林场
中华人民共和国澳门特别行政区护照	澳门特区护照
实物期权组合	期权组合
中国财政经济出版社培训中心	财经社培训中心
天津美术学院	天津美院
中国海监第三支队	海监三支队
虚拟教室系统	虚拟教室
土山集村	土山集
河池市交通运输局	河池市交通局
广州穗域网络科技有限公司	穗域网络
浏阳市永安镇坪头小学	坪头小学
亚洲太平洋经济合作组织	亚太经合组织
苏公堤	苏堤
海口人民公园	海口公园
江苏山水环境建设集团股份有限公司	江苏山水公司
全国中学生天文奥林匹克竞赛	天文奥赛
东莞市正航仪器设备有限公司	正航仪器
白银市质量技术监督局平川分局	质量技术监督局平川
邦初软件学院	邦初
山西历山国家级自然保护区	历山自然保护区
上海东亚天狼星球迷会	天狼星球迷会
以股份为基础的支付	股份支付
九龙县工商行政管理局	九龙县工商局
四川外语学院附属双语学校	附属双语学校
快捷速递有限公司	快捷速递
石湾镇街道在校大学生协会	石湾在校大学生协会
攀枝花市东区大渡口街道	大渡口街道
美国威斯康辛国际大学	威斯康辛国际大学
偏序关系	偏序
俄罗斯足球甲级联赛	俄甲
中州快捷酒店投资有限公司	中州快捷酒店
广州名杰装饰设计有限公司	名杰装饰
济南市交通运输局	济南市交通局
浙江侨外因私出入境咨询服务有限公司	浙江侨外
佛山市婵芝贸易有限公司	婵芝
乌鲁木齐市中级人民法院	乌鲁木齐人民法院
卡房乡	卡房
海歌搜索	海歌
厦门大学马来西亚分校	厦大马校
安徽广信汽车科技股份有限公司	广信汽车科技
江苏经贸职业技术学院	江苏经贸学院
西岳华山庙碑	华山碑
河北经贸大学	经贸大学
鹰潭职业技术学院	鹰潭职院
中建一局集团第三建筑有限公司	一局三公司
小留镇	小留
闽南理工学院	闽南理工
苏州大学附属瑞华医院	瑞华医院
可可以力更镇	可镇
湖南省株洲市天元区马家河中学	马家河中学
周口市川汇区	川汇区
浙江凯达工贸有限公司	浙江凯达工贸
手机防尘塞又	防尘塞
市住房和城乡建设委员会	市住建委
项城市丁集镇	丁集镇
盐津县	盐津
河北省承德卫生学校	承德卫生学校
重庆市万州区李河初级中学	万州区李河初级中学
山东傲饰服饰有限公司	傲饰服饰
郑州添彩皮革护理有限公司	郑州添彩皮革
濮阳县工商行政管理局	濮阳县工商局
杭州市城市建设投资集团有限公司	杭州城投
中国湖笔博物馆	湖笔博物馆
河北衡水中学	衡水中学
上海香集实业有限公司	上海香集
福建顶点软件股份有限公司	顶点软件
广东省惠州商业学校	惠州商业学校
四川省农作物种子管理条例	农作物种子管理条例
安豪贸易有限公司	安豪贸易
电白县第一中学	电白一中
安徽省滕海公共设施有限公司	滕海公共设施
朝日涂料有限公司	朝日涂料
路政管理处	路政处
北京市昌平实验中学	昌平实验中学
杨村第十一中学	杨村十一中
烟台市芝罘区竞技体校跆拳道队	烟台市芝罘区竞技
合肥幼儿师范高等专科学校	合肥幼师学校
中意人寿保险有限公司	中意人寿
深圳市莲南小学	莲南小学
蚌埠远大钢结构有限公司	远大钢结构有限公司
叠螺式污泥脱水机	叠螺机
张夏镇	张夏
质量管理工程专业	质量管理工程
山东我招我聘人力资源有限公司	我招我聘
四川网络文化研究中心	网络文化研究中心
山西省文化旅游产业投资促进会	文化旅游产业投资促进会
磁县第二中学	磁县二中
深圳居众装饰总部设计院	居众装饰总部设计院
中国兵器工业信息中心	兵器工业信息中心
合肥霍金光电科技有限公司	合肥霍金光电
污染源在线监测监控系统	在线监测监控系统
维尔加雷泽坦康福中心酒店	康福中心酒店
西安依山尽网络科技有限公司	依山科技
广州超悦信息科技有限公司	超悦信息
周口景鹏肉类加工有限公司	周口景鹏
宿城区埠子初级中学	埠子初中
汝南幼儿师范学校附属小学	汝师附小
长沙美天环保科技有限公司	美天环保
成都维赛国际贸易有限公司	维赛国际
温州华利医疗器械有限公司	华利医疗器械
城阳城遗址博物馆	城阳城址
朝中火车站	朝中站
中草药栽培与鉴定专业	中草药栽培与鉴定
镇天真武灵应佑圣帝君	真武帝君
江苏省天一中学	天一中学
同安第一人才网	同安人才网
岩排溪村	岩排溪
中华人民共和国审计法实施条例	审计法
梧州市第七中学	梧州七中
武昌船舶重工有限责任公司	武船
北京雅士佳居装饰有限公司	雅士佳居装饰
宁阳县第二小学	宁阳二小
北京境远国际文化传播有限公司	境远国际文化公司
江西省轻工业高级技工学校	江西省轻工业技工学校
怀远县万福初级中学	万福初级中学
重庆拓普装饰工程有限公司	重庆拓普
大内行厂	内厂
宁陵县火车站	宁陵火车站
机械式皮革冲孔机	皮革冲孔机
中华人民共和国中央人民政府门户网站	中国政府网
国家测绘地理信息局第一大地测量队	国测一大队
江西省煤田地质局测绘大队	煤田地质局测绘大队
杭州海军疗养院体检中心	杭州海疗
宁波四明制药有限公司	四明制药
海口恒嘉商汇商务服务有限公司	恒嘉商汇
上海海洋大学人文学院	海洋大学人文学院
阜蒙县第二高级中学	阜蒙县第二高中
豆豆淘少儿生活网	豆豆淘
巢湖祝氏木业有限公司	祝氏木业有限公司
盂县舞蹈家协会	盂县舞协
广州卡农网络科技有限公司	卡农科技
浙江省云和中学	云和中学
抚州才子玉	抚州玉
湖北环洋船舶管理有限公司	湖北环洋
北京智鼎宏盛国际贸易中心	智鼎宏盛
士兵突击迷	突迷
爱知医疗学院短期大学	爱知医疗
郑州诚志商贸有限公司	郑州诚志商贸
上海江夏桌球俱乐部	江夏桌球
永嘉县良诚阀门制造有限公司	永嘉县良诚阀门制造
武汉谦诚岩土工程有限责任公司	武汉谦诚岩土
徐州幼儿师范高等专科学校	徐州幼儿师范学校
科学考察	科考
三脉七轮	脉轮
山东金光集团通风设备有限公司	金光集团通风设备
张寒文化传播有限公司	张寒文化传播
鹤归苑咖啡屋	鹤归苑
洛龙区	洛龙
世界维吾尔代表大会	世维会
临颍霜降物资交流大会	临颍霜降会
大港油田集团油田化学有限公司	集团油田化学有限公司
南昌永康整形美容医院	南昌永康整形医院
长沙辉扬装饰工程有限公司	长沙辉扬
江苏省金湖中学	省金中
湖北清江水电开发有限责任公司	清江公司
武汉理工大学学生自强社	自强社
甘肃省金羚集团药业有限公司	金羚集团药业有限公司
青岛定陶路小学	定陶路小学
武鸣县住房制度改革委员会办公室	武鸣县房改办
上海爱建股份有限公司	爱建股份
河南弘正电气科技有限公司	弘正电气
北票市高级中学	北票高中
大连科技学院国际学院	大科国际学院
上海领发网络科技有限公司	领发网络
衢州市质量技术监督检测中心	衢州市质量技术
三河市哈佛摇篮星河皓月幼儿园	星河皓月幼儿园
湖南新天盛植物营养有限公司	新天盛
信步教育文化学校	信步教育
北京掌上通达网络技术有限公司	掌上通达网络技术
红岸基地	红岸
深圳市地铁运营管理办公室	地铁运管办
中国教育品牌联盟	教育品牌联盟
深圳市金网贷金融服务有限公司	金网贷
岘塬镇	岘塬
山东丝绸大学	丝绸大学
上海市台湾同胞联谊会	上海市台联
中动文化股份有限公司	中动文化
中邮人寿保险股份有限公司河南分公司	中邮人寿河南分公司
武汉杨园教育科技创业园	杨园教育科技创业园
内黄县	内黄
天津爱民减肥医院	天津爱民
常州卫生高等职业技术学校	常州卫生学校
安徽省地矿置业有限责任公司	地矿置业
新疆民心凯力国际贸易有限公司	新疆民心
座式充电器	座充
大连金州经济开发区	金州经济开发区
云南云投建设有限公司	云投建设
衢州事事通信息咨询有限公司	衢州事事通信息咨询
日本大阪大谷大学	大阪大谷大学
电脑标签打印机	电脑标签机
桐庐星海电子有限公司	桐庐星海
合肥滨湖投资控股集团	滨湖集团
江苏四达动力机械集团有限公司	四达动力
景宁县民族宗教事务局	景宁民宗局
甘肃省庆阳市卫生学校	庆阳卫校
甘肃省康复中心医院	康复中心医院
梧州市文学艺术界联合会	梧州市文联
长沙众朗信息科技有限公司	长沙众朗
脊髓亚急性联合变性	亚急性联合变性
四川省内江市铁路中学	内江铁中
文学艺术与传播学院	文传学院
山东尧王控股集团	尧王控股集团
北京创业公社投资发展有限公司	创业公社
干式荷电铅酸蓄电池	干荷蓄电池
中华人民共和国国家邮政局	邮政局
上海师范大学第二附属中学	上师大二附中
心内膜	心膜
霍格沃茨魔法学校	霍格沃茨
浙江省诸暨中学	诸暨中学
德江县第二中学	德江二中
安徽农业大学植保学院	安农植保学院
泰兴市东远减速机有限公司	东远减速机有限公司
珠海灵科超声波设备有限公司	珠海灵科
乐都县第一中学	乐都一中
哈尔滨美华生物技术股份有限公司	哈美华公司
营里镇中学	营里中学
北京开维创科技有限公司	开维创科技有限公司
澳门江门同乡会	江门同乡会
德仁专项教育基金	德仁基金
朝鲜国家男子足球队	朝鲜国家足球队
陈仓区东关高级中学	东关高中
重庆巴奴饮食文化有限公司	巴奴饮食文化
湖北省宜昌市夷陵中学	湖北省夷陵中学
上海外高桥保税区	外高桥保税区
烟台市水利建筑勘察设计院	烟台市水利勘察设计院
金品门业有限公司	金品门业
中国人民解放军海军职工大学	海军职工大学
是图纸幅面	图幅
杭州边锋网络技术有限公司	杭州边锋
桐庐县第二人民医院	桐庐县第二
中华人民共和国农民运动会	农运会
太原市亚美达电器有限公司	亚美达电器
湖南珠江实业投资有限公司	湖南珠江
点即送餐饮社区网	点即送网
又名昆明八中	昆八中
北京秋月颂商贸有限公司	秋月颂
国众教育	国众
麻竦菽肉	麻竦肉
弗睿森管理咨询有限公司	弗睿森
北京埃森恒信电子技术有限公司	埃森恒信
东阳新经典影业有限公司	东阳新经典
左束支传导阻滞	左束支阻滞
珠海市夏湾中学	夏湾中学
中央机构编制委员会办公室	中编办
合肥经济技术开发区	合肥经开区
虞山镇毛桥村	毛桥村
中国名牌大学	名牌大学
兰州汉服雅集会格式化多媒体中心	雅集格式化
辽阳市第三高级中学	辽阳市第三中学
口袋操作系统	口袋系统
北京大长京旅行社	北京大长京
上海汇之美广告有限公司	上海汇之美广告
成都少城医院	少城医院
基床反力系数	基床系数
泰国国际航空公司	泰国国际航空
广东明宇科技股份有限公司	明宇科技
观世音菩萨庙	观音庙
北京安元鼎安全防范技术服务有限公司	安元鼎
成都思乐宜财富金融服务有限公司	乐宜财富
坝塘村	坝塘
卓佳集团	卓佳
埃及中国和平统一促进会	埃及中国统促会
中国环境科学出版社	中国环境出版社
浙江正联实业发展有限责任公司	正联实业发展
中国石油大学	石油大学
元置换群	置换群
椰树集团有限公司	椰树集团
红海湾经济开发区	红海湾经开区
成都爱英语学校	爱英语
北京通成达水务建设有限公司	通成达水务
肥西县	肥西
奉节县公平中学	公平中学
紫毒怪鸟	紫怪鸟
旧寨村	旧寨
南方佛吉亚汽车部件有限公司	南方佛吉亚
国强五金集团有限公司	国强五金集团
福州天勤网络科技有限公司	天勤网络
上海惠罗钻石有限公司	惠罗钻石有限公司
台湾富山阀门	富山
北京银狮灵动广告有限公司	银狮灵动
华中科技大学出版社	华中出版
青年奥林匹克运动会	青年奥运会
西安西高电能集团有限公司	西安西高集团
客家语	客语
名古屋市瑞穗公园陆上竞技场	瑞穗公园陆上竞技场
辽河农垦管理区	辽河农垦
合肥蜀山新产业园区	蜀山新产业园区
河南启福象棋队	河南象棋队
广州顺科软件服务有限公司	顺科软件
大理市下关第六中学	下关第六中学
广州尚扬信息科技有限公司	尚扬科技
贵阳市第二十九中学	贵阳二十九中
长沙市雅礼中学	雅礼中学
三门峡市第一高级中学	三门峡一高
上海市董恒甫职业技术学校	董恒甫职业技术学校
中广核工程有限公司	广核工程
中华人民共和国车船税法	车船税法
衡山县贯底中学	贯底中学
娄底市国家税务局	娄底市国税局
陕西铁路工程职业技术学院	陕铁院
庆客隆连锁商贸有限公司	庆客隆
乐东黎族自治县	乐东县
新井头村	新井头
凯里学院物理与电子工程学院	凯里学院物理与电子
深圳市大影易科技有限公司	大影易
长沟镇	长沟
西安高新第一中学	西安高新一中
山东工商经济学院	工商经济学院
云南省革命老区建设促进会	云南省老促会
江苏省锡东高级中学	省锡东高中
重庆市万州熊家中学	熊家中学
广东外事博物馆	外事博物馆
扬州穆穆电子商务有限公司	穆穆电子商务
常德市鼎城区第一中学	鼎城一中
合肥德曼电子科技有限公司	德曼
上海昱浩实业有限公司	昱浩实业
大连创旭文化发展有限公司	创旭文化
苏拉巴亚足球俱乐部	苏拉巴亚
武陟县工商行政管理局	武陟县工商局
安徽讯飞联创信息科技有限公司	讯飞联创
聚艺装饰设计有限公司	聚艺装饰
安徽省统计管理监督条例	统计管理监督条例
蜜蜂峡谷	蜜蜂谷
武汉送子鸟医院	武汉送子鸟
免备案虚拟主机	免备案主机
中国博物馆协会	中国博协
铜仁职业技术学院	铜仁职院
长安大戏院	大戏院
江苏省东台中等专业学校	东台中等专业学校
沈阳飞机工业集团	沈飞
中国儿童少年安康成长计划	安康计划
非居民个人	非居民
西宫底村	西宫底
山东蓝翔烹饪学校	蓝翔烹饪学校
安庆市建设委员会	安庆建设委员会
上海汇驿软件有限公司	汇驿软件
新苏国际购物中心	新苏国际
庆云镇	庆云
天津金耀集团有限公司	金耀集团
福州鼓楼遗址公园	福州鼓楼遗址
中山市加力加电器科技有限公司	加力加电器
南京孚欧德屠宰设备有限公司	南京孚欧德屠宰设备
绵阳市第一中学	绵阳一中
平凉新世纪工贸开发集团	平凉新世纪工贸
上海市普陀区曹杨第五中学	曹杨五中
标准列日足球俱乐部	标准列日
舟山市林业科学研究所	舟山市林科所
深圳市康姆斯科技有限公司	深圳市康姆斯有限公司
上海前顺金属制品有限公司	上海前顺
大同市第二卫生学校	大同二卫校
执疈辜	执疈
福建省惠安开成职业中专学校	惠安开成职业中专学校
中国科学院晨兴数学中心	晨兴数学中心
夏邑县工商行政管理局	夏邑县工商局
选美小姐权钱欲的三角关系	欲的三角关系
年的北京中科泛华测控技术有限公司	泛华测控
李坊乡	李坊
河北承德露露股份有限公司	承德露露
北京市朝阳区泓钰培训学校	朝阳区泓钰培训学校
京师至德观主孟法师碑	孟法师碑
系列彩色石英管液位计	彩色液位计
韩城市新城第二中学	新城第二中学
北京千言万语翻译公司	北京千言万语
上海芝柯打印技术有限公司	芝柯
苏州信托有限公司	苏州信托
滕州市级索中学	级索中学
安徽兆尹信息科技股份有限公司	兆尹
陕西西咸新区发展集团有限公司	西咸集团
山东江山纤维科技有限公司	江山纤维
大同煤矿集团有限责任公司	同煤集团
瓦努阿图共和国	瓦努阿图
莒南县第二中学	莒南二中
又名台湾行政院客家委员会	客委会
捷顺职业技能培训学校	捷顺培训
北京房地产估价师和土地估价师协会	北京估价师协会
湖州久新不锈钢制品有限公司	湖州久新
宇宙空间	空间
也称硫代葡萄糖苷或	硫苷
龙成国际商贸物流中心	龙成国际商贸物流
吉林省华民自动车衣设备有限公司	华民自动车衣设备
湖南三和医药物流中心有限公司	三和医药物流中心
长安大学资源学院青年志愿者服务团	大志团
起草了民法四个稿子	民法四稿
商州佳骞现代农业园区	佳骞
北京华宇盈通科技有限公司	北京华宇盈通科技
广东石湾陶瓷博物馆	石湾陶瓷博物馆
山东中粮鲁德食品有限公司	中粮鲁德食品
湖北飞利信电子设备有限公司	湖北飞利信
蕲春药圣草本科技有限公司	蕲春药圣草本科技
大连市向应中学	向应中学
西安喜多多工业设计有限公司	西安喜多多工业
闽江学院历史学系	闽院历史系
非酷娱乐社区	非酷社区
京台高速公路	京台高速
河北平山中学	平山中学
艾肯缇拉多斯公寓酒店	缇拉多斯公寓酒店
西华大学网球协会	西华网协
武汉融森文化传媒有限责任公司	融森传媒
上海家化联合股份有限公司	上海家化
中国海监东海总队	东海总队
北方浸会神学院	北方神学院
玉田白菜	玉菜
浙江新昌天然保健品有限公司	浙江新昌天然保健品
泰安高新技术产业开发区	泰安高新区
上海景苑水庄酒店	上海景苑
喀什大学	喀大
苏州大学	苏大
浙江三星纸业股份有限公司	三星纸业
天津金元宝商厦集团有限公司	金元宝集团
河北省新乐市孝德小学	新乐市孝德小学
焦作温县威石机械有限公司	焦作温县威石机械
淄博国家高新技术产业开发区	淄博高新区
班级学生委员会	班级委员会
颐柳国际商务花园	颐柳国际
厦门欧莱特科技有限公司	厦门欧莱特科技
新化县第三中学	新化三中
低筋面粉	低粉
功曹史	功曹
中国铁道科学研究院	铁科院
南下冶村	南下冶
浙江中特气动阀门成套有限公司	中特气动阀门
烟台市南山职业技术学校	南山职业技术学校
厦门天台文化传播有限公司	天台传播
中国轻工集团公司	中轻集团
河南交通职业技术学院站	河南交院站
山东亿能光学仪器股份有限公司	亿能光学
深圳市华明辉置业有限公司	华明辉公司
扎赉诺尔国家矿山公园	扎赉诺尔国家矿山
中央教科所南山附属学校	央校
石狮市第六中学	石狮市第六
基准投资收益率	基准收益率
成都香香嘴食品有限公司	香香嘴食品
菲律宾华侨各劳工团体联合会	劳联会
北京天力神雕科技有限公司	北京天力神雕科技公司
广安门内街道	广内街道
精营街	精营
中山火炬开发区医院	火炬开发区医院
活龙坪乡	活龙坪
烟花占卜师玩法	烟花占卜师
亳州火车站	亳州站
南宁市富宁小学	富宁小学
武冈市第二中学	武冈二中
汝城县	汝城
内蒙古包头九原工业园区	九原工业园区
广东省佛山市雷明灯网络科技有限公司	雷明灯
化学治疗	化疗
黑龙江中桂制药有限公司	中桂制药有限公司
西安赵卫肛肠疾病诊疗中心	赵卫肛肠疾病
永春县职业中等专业学校	永春职业中专
成都总管家软件有限公司	总管家软件
河南华夏外国语高级中学	华夏外国语高级中学
大阪经济法科大学	大阪经法大学
新煌实业集团有限公司	新煌集团
衡阳市广播电影电视中心	衡阳广电中心
邳州市第一中学	邳州一中
上海威冶轴承有限公司	威冶
吉化第一高级中学校	吉化一中
南京农业大学园艺学院	南农园艺
郑州黄河湿地自然保护区	郑州黄河湿地
昆山协扬机械有限公司	昆山协扬机械
四川银辉贵金属经营有限公司	银辉贵金属
上海辛迪加影视有限公司	上海辛迪加
北京市羽毛球运动协会	北京羽协
恒康医疗集团股份有限公司	恒康医疗
朗厦三正污水处理有限公司	朗厦三正污水处理
北京中农弘科生物技术有限公司	北京中农弘科生物技术
石家庄幼儿师范学校	石家庄幼儿
龙王乡第二初级中学	龙王二中
穆斯林发展中八国集团	发展中八国集团
中保国际控股有限公司	中保国际
亚洲残疾人运动会	亚残会
大悲禅院	大悲院
一切如来金刚寿命陀罗尼经	金刚寿命陀罗尼经
成都嘉宝商业物业经营管理有限公司	嘉宝商业
国立东南联合大学	东南联大
查藏旗磨热嘎曲丁寺	查藏寺
河北肥乡第一中学	肥乡中学
山东睿智汇通文化传媒有限公司	睿智汇通文化传媒
景德镇御窑珐琅彩研究院	珐琅彩研究院
中国水运建设行业协会	水运建设协会
国立旗山高级农工职业学校	农工职业学校
攸县第一中学	攸县一中
虎庄镇	虎庄
镇龙镇	镇龙
